Complaint,Category,Urgency
"Limited-time offer timer ran too fast","Promotions",High
"Discount applied then removed post-purchase","Promotions",Immediate
"Promo excluded colors not mentioned","Promotions",High
"Coupon worked only with specific payment","Promotions",Medium
"Price showed discount from inflated MSRP","Promotions",High
"Early access sale had broken queue system","Promotions",Immediate
"Promo required following social accounts","Promotions",High
"Coupon didn't work on sale items (undisclosed)","Promotions",Medium
"Bulk discount didn't apply automatically","Promotions",High
"Price showed before mandatory fees","Promotions",Immediate
"Promo items had different return policy","Promotions",High
"Coupon required age verification at checkout","Promotions",Medium
"Sale advertised wrong percentage off","Promotions",High
"Discount code leaked before launch","Promotions",Immediate
"Promo required manual credit after purchase","Promotions",High
"Coupon valid only for certain regions","Promotions",Medium
"Price showed comparison to wrong product","Promotions",High
"VIP sale allowed non-VIPs to checkout","Promotions",Immediate
"Promo items had no warranty coverage","Promotions",High
"Coupon required minimum account age","Promotions",Medium
"Sale price showed only after email signup","Promotions",High
"Price error blamed on 'caching issue'","Promotions",Immediate
"Promo excluded certain configurations","Promotions",High
"Coupon required video testimonial","Promotions",Medium
"Limited stock showed available at all stores","Promotions",High
"Discount didn't apply to required accessories","Promotions",Immediate
"Promo credit split across future orders","Promotions",High
"Coupon required biometric verification","Promotions",Medium
"Sale advertised limited colors but all worked","Promotions",High
"Price showed dynamic pricing fluctuations","Promotions",Immediate
"Promo items had different specs","Promotions",High
"Coupon required friend's purchase first","Promotions",Medium
"Early access sale had broken password system","Promotions",High
"Discount terms changed post-launch","Promotions",Immediate
"Package marked 'delivered' but never arrived","Shipping",Immediate
"Carrier left package in obvious theft location","Shipping",High
"Wrong shipping method used despite selection","Shipping",Medium
"Address autofill inserted incorrect unit number","Shipping",High
"International shipment stuck in customs","Shipping",Immediate
"Carrier rerouted package to wrong state","Shipping",High
"Signature required but left without signature","Shipping",Medium
"Address change requested but ignored","Shipping",High
"Package damaged during transit (crushed box)","Shipping",Immediate
"Carrier delivered to neighbor without permission","Shipping",High
"Shipping label printed with wrong zip code","Shipping",Medium
"Express shipping took longer than standard","Shipping",High
"Package left in rain without protection","Shipping",Immediate
"Carrier marked 'delivery attempted' but no notice","Shipping",High
"Address confirmation email had typos","Shipping",Medium
"Signature confirmation package left unattended","Shipping",High
"International duties higher than calculated","Shipping",Immediate
"Carrier delivered to wrong business hours","Shipping",High
"Shipping weight incorrect causing overcharge","Shipping",Medium
"Package scanned at wrong facility repeatedly","Shipping",High
"Address autocomplete removed apartment number","Shipping",Immediate
"Carrier left perishables in hot sun","Shipping",High
"Signature forged on delivery confirmation","Shipping",Medium
"Shipping insurance claim denied unfairly","Shipping",High
"Package dimensions misreported by carrier","Shipping",Immediate
"Carrier refused to climb stairs for delivery","Shipping",High
"Address change option disappeared at checkout","Shipping",Medium
"Signature required but delivered to wrong person","Shipping",High
"International package returned to sender","Shipping",Immediate
"Carrier left 'fragile' package upside down","Shipping",High
"Shipping cost calculated incorrectly","Shipping",Medium
"Package marked 'undeliverable' with good address","Shipping",High
"Address verification rejected valid address","Shipping",Immediate
"Carrier delivered to vacant neighboring property","Shipping",High
"Shipping delay due to carrier mis-sort","Shipping",Medium
"Package lost between carrier facilities","Shipping",High
"Address autofill used outdated information","Shipping",Immediate
"Carrier left package visible from street","Shipping",High
"Shipping label damaged during transit","Shipping",Medium
"Package delivered to wrong city with similar name","Shipping",High
"Address change deadline passed too quickly","Shipping",Immediate
"Carrier left package at closed business","Shipping",High
"Shipping notification came after delivery","Shipping",Medium
"Package scanned as delivered one day early","Shipping",High
"Address system doesn't accept special characters","Shipping",Immediate
"Carrier refused to release without ID present","Shipping",High
"Shipping method downgraded without notice","Shipping",Medium
"Package left with unauthorized building staff","Shipping",High
"Address fields rearranged during checkout","Shipping",Immediate
"Carrier delivered to wrong floor in apartment","Shipping",High
"Shipping cost not shown until final step","Shipping",Medium
"Package marked 'weather delay' falsely","Shipping",High
"Address auto-correct changed valid input","Shipping",Immediate
"Carrier left package at wrong business entrance","Shipping",High
"Shipping timeline estimates were inaccurate","Shipping",Medium
"Package shows 'in transit' for 3 weeks","Shipping",High
"Address system rejected PO Box unnecessarily","Shipping",Immediate
"Carrier delivered to wrong unit in complex","Shipping",High
"Shipping restrictions not disclosed upfront","Shipping",Medium
"Package rerouted to carrier's wrong facility","Shipping",High
"Address confirmation didn't show corrections","Shipping",Immediate
"Carrier left package at demolition site","Shipping",High
"Shipping label missing return address","Shipping",Medium
"Package dimensions caused oversized fees","Shipping",High
"Address change required phone confirmation","Shipping",Immediate
"Carrier delivered to previous tenant","Shipping",High
"Shipping options disappeared at checkout","Shipping",Medium
"Package scanned 'delivered' while on truck","Shipping",High
"Address system doesn't support military addresses","Shipping",Immediate
"Carrier left perishables without refrigeration","Shipping",High
"Shipping price changed after address entered","Shipping",Medium
"Package stuck at 'label created' for days","Shipping",High
"Address autofill ignored manual corrections","Shipping",Immediate
"Carrier delivered to wrong rural mailbox","Shipping",High
"Shipping method unavailable after order placed","Shipping",Medium
"Package weight changed during transit","Shipping",High
"Address system merged two valid addresses","Shipping",Immediate
"Carrier left package at construction site","Shipping",High
"Shipping deadline passed without pickup","Shipping",Medium
"Package contents shifted due to poor packing","Shipping",High
"Address change required faxed request","Shipping",Immediate
"Carrier delivered to similarly named business","Shipping",High
"Shipping restrictions changed post-purchase","Shipping",Medium
"Package marked 'delivered' before shipping","Shipping",High
"Address system truncated long street names","Shipping",Immediate
"Carrier left package at wrong dorm building","Shipping",High
"Shipping cost higher than advertised","Shipping",Medium
"Package routing added unnecessary stops","Shipping",High
"Address confirmation didn't include country","Shipping",Immediate
"Carrier delivered to wrong military base","Shipping",High
"Shipping speed not honored despite payment","Shipping",Medium
"Package scanned at impossible locations","Shipping",High
"Address system rejected valid special characters","Shipping",Immediate
"Carrier left package at foreclosed property","Shipping",High
"Shipping options limited without explanation","Shipping",Medium
"Package delivered to vacant vacation home","Shipping",High
"Address change required notarized letter","Shipping",Immediate
"Carrier delivered to wrong church office","Shipping",High
"Shipping insurance didn't cover damage","Shipping",Medium
"Package left at community mailbox illegally","Shipping",High
"Address system auto-changed correct input","Shipping",Immediate
"Carrier delivered to wrong hospital department","Shipping",High
"Shipping label had illegible barcode","Shipping",Medium
"Package routing skipped nearest facility","Shipping",High
"Address verification failed for new development","Shipping",Immediate
"Carrier left package at wrong school office","Shipping",High
"Shipping method unavailable for gift orders","Shipping",Medium
"Package delivered to demolished address","Shipping",High
"Gift message not included as requested","Special Requests",Medium
"Delivery instructions completely ignored","Special Requests",High
"Personalization misspelled customer's name","Special Requests",Immediate
"Gift packaging option was unavailable at checkout","Special Requests",Medium
"Driver left package despite 'do not leave' instructions","Special Requests",High
"Custom engraving had wrong date format","Special Requests",Immediate
"Requested gift receipt was missing","Special Requests",Medium
"Delivery came on restricted date","Special Requests",High
"Handwritten note was typed instead","Special Requests",Low
"Signature required ignored for alcohol delivery","Special Requests",Immediate
"Gift message printed on invoice instead of card","Special Requests",Medium
"'Leave at back door' instruction not followed","Special Requests",High
"Monogram was upside down","Special Requests",Immediate
"Gift wrapping added creases to product","Special Requests",Medium
"Delivery arrived before requested date","Special Requests",High
"Custom color request was substituted","Special Requests",Low
"Requested call before delivery never came","Special Requests",Immediate
"Gift note paper quality was poor","Special Requests",Medium
"Delivery left with wrong apartment neighbor","Special Requests",High
"Personalized message cut off mid-sentence","Special Requests",Immediate
"Gift option added unexpected charges","Special Requests",Medium
"'Fragile' stickers were missing","Special Requests",High
"Custom sizing request was ignored","Special Requests",Low
"Delivery came during requested blackout hours","Special Requests",Immediate
"Hand-painted detail was sloppy","Special Requests",Medium
"Gift message contained typos","Special Requests",High
"Driver rang bell despite 'do not disturb' note","Special Requests",Immediate
"Custom embroidery had wrong thread color","Special Requests",Medium
"Requested eco-friendly packaging was plastic","Special Requests",High
"Delivery left in plain view despite instructions","Special Requests",Low
"Personalized dates were formatted wrong","Special Requests",Immediate
"Gift receipt showed original price","Special Requests",Medium
"'Require ID' instruction was ignored","Special Requests",High
"Custom engraving depth was inconsistent","Special Requests",Immediate
"Requested morning delivery came at night","Special Requests",Medium
"Gift wrapping color was wrong","Special Requests",High
"Delivery came to old address after update","Special Requests",Low
"Handwritten message was illegible","Special Requests",Immediate
"Special occasion card was missing","Special Requests",Medium
"Driver didn't follow gate code instructions","Special Requests",High
"Personalized coordinates were inaccurate","Special Requests",Immediate
"Gift message arrived separately from package","Special Requests",Medium
"'Perishable' stickers weren't used","Special Requests",High
"Custom font request was substituted","Special Requests",Low
"Delivery left outside in rain despite garage option","Special Requests",Immediate
"Requested vegan packaging contained leather","Special Requests",Medium
"Gift note was placed inside package","Special Requests",High
"Signature required was bypassed","Special Requests",Immediate
"Personalized jewelry had wrong engraving","Special Requests",Medium
"'Do not fold' instruction was ignored","Special Requests",High
"Delivery came after recipient left town","Special Requests",Low
"Custom photo print was cropped wrong","Special Requests",Immediate
"Gift wrapping crushed delicate item","Special Requests",Medium
"Driver left package with unauthorized person","Special Requests",High
"Requested discreet packaging had logos","Special Requests",Immediate
"Hand-painted design didn't match sample","Special Requests",Medium
"Gift message was on wrong language","Special Requests",High
"Delivery instructions were cut off in app","Special Requests",Low
"Personalized text exceeded character limit silently","Special Requests",Immediate
"Special delivery window was missed","Special Requests",Medium
"'This Side Up' sticker was missing","Special Requests",High
"Custom embroidery had loose threads","Special Requests",Immediate
"Requested gift boxing was just tissue paper","Special Requests",Medium
"Driver ignored 'leave with concierge'","Special Requests",High
"Personalized dates used wrong calendar","Special Requests",Low
"Gift receipt included return shipping cost","Special Requests",Immediate
"Delivery came during funeral requested to avoid","Special Requests",Medium
"Handwritten note looked photocopied","Special Requests",High
"Special instructions disappeared from order","Special Requests",Immediate
"Custom monogram had wrong initials","Special Requests",Medium
"Requested signature confirmation was skipped","Special Requests",High
"Gift message paper was see-through","Special Requests",Low
"Delivery left at wrong business entrance","Special Requests",Immediate
"Personalized engraving had typos","Special Requests",Medium
"'Fragile - Glass' marking was missing","Special Requests",High
"Special occasion delivery was one day late","Special Requests",Immediate
"Custom color mix was incorrect","Special Requests",Medium
"Requested call on arrival never came","Special Requests",High
"Gift wrapping damaged collectible item","Special Requests",Low
"Driver ignored 'no safe drop location' note","Special Requests",Immediate
"Personalized message was truncated","Special Requests",Medium
"Delivery came before requested surprise time","Special Requests",High
"Special font request defaulted to basic","Special Requests",Immediate
"Hand-painted item had smudges","Special Requests",Medium
"Gift note ink smeared easily","Special Requests",High
"Requested discreet shipping showed contents","Special Requests",Low
"Custom sizing chart was inaccurate","Special Requests",Immediate
"Delivery left at vacant neighbor's house","Special Requests",Medium
"Personalized coordinates were reversed","Special Requests",High
"Special handling instructions were ignored","Special Requests",Immediate
"Gift message card was bent","Special Requests",Medium
"Driver didn't use provided gate remote","Special Requests",High
"Requested vegan ink contained animal products","Special Requests",Low
"Custom embroidery missed stitches","Special Requests",Immediate
"Delivery arrived after birthday passed","Special Requests",Medium
"Special occasion card was generic","Special Requests",High
"Personalized dates used wrong format","Special Requests",Immediate
"Gift packaging crushed corners","Special Requests",Medium
"Requested signature was forged","Special Requests",High
"Handwritten note was printed font","Special Requests",Low
"Custom engraving was off-center","Special Requests",Immediate
"Delivery left outside security gate","Special Requests",Medium
"Special instructions were in order notes only","Special Requests",High
"Gift message arrived after package","Special Requests",Immediate

